country_name,country_code,indicator_name,indicator_code,year16,,,,,,
Togo,TGO,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,940328000,,,,,,
Togo,TGO,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,940328000,,,,,,
Tonga,TON,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,150595000,,,,,,
Tonga,TON,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,150595000,,,,,,
Tunisia,TUN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,19429435000,,,,,,
Turkey,TUR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3.06E+11,,,,,,
Turkmenistan,TKM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,264049000,,,,,,
Uganda,UGA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,9212432000,,,,,,
Ukraine,UKR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,84760041000,,,,,,
Upper middle income,UMC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3.5E+12,,,,,,
Uzbekistan,UZB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,15582946000,,,,,,
Vanuatu,VUT,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,137387000,,,,,,
Vanuatu,VUT,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,137387000,,,,,,
Vanuatu,VUT,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,137387000,,,,,,
"Venezuela, RB",VEN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,80779674000,,,,,,
Vietnam,VNM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,72521659000,,,,,,
"Yemen, Rep.",YEM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,6322902000,,,,,,
"Yemen, Rep.",YEM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,6322902000,,,,,,
"Yemen, Rep.",YEM,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,6322902000,,,,,,
Zambia,ZMB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,7723941000,,,,,,
Zimbabwe,ZWE,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,5457211000,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,2.56573E+13
,,,,,,,,,1.26774E+13,49%
,,,,,,,,,7.85405E+12,31%
,,,,,,,,,5.12587E+12,20%
